Product,Brand,Line,Comments,ProductType,LowPorosity,HighPorosity,Fine,Coarse,Frizz,Dry,Volume,URL,Image
SheaMoisture Hair Serum Oil for Damaged Hair Jamaican Black Castor Oil Hair Oil with Shea Butter 2 oz,SheaMoisture,Jamaican Black Castor Oil,616,,1.0,1.0,0.2,0.5806451612903226,0.6,0.55,0.0,https://www.amazon.com/SheaMoisture-Jamaican-Strengthen-Restore-Treatment/dp/B07NSZHGY5?ref_=ast_sto_dp&th=1&psc=1,https://images-na.ssl-images-amazon.com/images/I/31oM2eNfBHL._SX300_SY300_QL70_FMwebp_.jpg
"Shea Moisture Manuka Honey & Yogurt Hydrate + Repair Protein Power Treatment, Hair Mask, Deep Conditioner and Hair Treatment, 8 oz",SheaMoisture,Manuka Honey and Yogurt,600,"conditioner, mask",0.6,0.9090909090909091,0.7931034482758621,0.6818181818181818,0.5714285714285714,0.6987951807228916,1.0,https://www.amazon.com/Shea-Moisture-Hydrate-Protein-Strong-Treatment/dp/B079TD4TW7?ref_=ast_sto_dp,https://images-na.ssl-images-amazon.com/images/I/410h1D29GbL._SX300_SY300_QL70_FMwebp_.jpg
SheaMoisture 100% Virgin Types 100% Extra Virgin 8 oz,SheaMoisture,100% Virgin Coconut Oil,596,,1.0,0.8,0.43243243243243246,0.38235294117647056,0.7142857142857143,0.7142857142857143,1.0,https://www.amazon.com/SheaMoisture-Virgin-Coconut-Hydration-Treatment/dp/B07NQHWHLM?ref_=ast_sto_dp&th=1&psc=1,https://m.media-amazon.com/images/I/61en3WK+hML._AC_SY300_SX300_.jpg
"SheaMoisture Smoothie Curl Enhancing Cream for Thick, Curly Hair Coconut and Hibiscus Sulfate Free and Paraben Free 12 oz",SheaMoisture,Coconut and Hibiscus,583,cream,1.0,1.0,0.7368421052631579,0.64,0.6949152542372882,0.38571428571428573,1.0,https://www.amazon.com/SheaMoisture-Coconut-Hibiscus-Enhancing-Smoothie/dp/B07NQJWQYY?ref_=ast_sto_dp&th=1&psc=1,https://images-na.ssl-images-amazon.com/images/I/31T8wm9HfPL._SX300_SY300_QL70_FMwebp_.jpg
"Sheamoisture Curl Enhancing Smoothie for Thick, Curly Hair Coconut and Hibiscus Sulfate Free and Paraben Free 20 oz",SheaMoisture,Coconut and Hibiscus,583,,1.0,1.0,0.7368421052631579,0.64,0.6949152542372882,0.38571428571428573,1.0,https://www.amazon.com/SheaMoisture-Enhancing-Smoothie-Coconut-Hibiscus/dp/B08BT948RD?ref_=ast_sto_dp&th=1&psc=1,https://images-na.ssl-images-amazon.com/images/I/41480bxHc9L._SX300_SY300_QL70_FMwebp_.jpg
"SheaMoisture Intensive for Dry,12 oz",SheaMoisture,Manuka Honey and Mafura Oil,540,,0.5909090909090909,1.0,0.6,0.8333333333333334,0.76,0.7282608695652174,1.0,https://www.amazon.com/SheaMoisture-Marfura-Hydration-Intensive-Treatment/dp/B07NSZHMWD?ref_=ast_sto_dp&th=1&psc=1,https://m.media-amazon.com/images/I/81B2aIhpkZL._AC_SX679_.jpg
"Carol’s Daughter Almond Milk Daily Damage Repair Sulfate Free Shampoo and Conditioner Set for Damaged Hair, Shampoo and Restoring Hair Conditioner with Shea and Aloe",Carol's Daughter,Shampoos and Conditioners,536,"shampoo, conditioner",1.0,0.0,0.5833333333333334,0.6086956521739131,0.7692307692307693,0.09836065573770492,0.5,https://www.amazon.com/Daughter-Sulfate-Shampoo-Conditioner-Restoring/dp/B0753PCJJW?ref_=ast_sto_dp&th=1&psc=1,https://m.media-amazon.com/images/I/51q-dkTqMHL._SX679_.jpg
"SheaMoisture Intensive Hydration Conditioner for Dry, Damaged Hair Manuka Honey and Mafura Oil deep moisturizing conditioner 24oz",SheaMoisture,Manuka Honey and Mafura Oil,497,conditioner,0.5,-0.5,0.6190476190476191,0.6470588235294118,0.7083333333333334,0.4864864864864865,1.0,https://www.amazon.com/SheaMoisture-Intensive-Conditioner-moisturizing-conditioner/dp/B09D8D4CT4?ref_=ast_sto_dp&th=1&psc=1,https://m.media-amazon.com/images/I/71QJ5cWuB1L._SX679_.jpg
"SheaMoisture Intensive Hydration Conditioner for Dry, Damaged Hair Manuka Honey and Mafura Oil to Nourish and Soften Hair 13 oz",SheaMoisture,Manuka Honey and Mafura Oil,497,conditioner,0.5,-0.5,0.6190476190476191,0.6470588235294118,0.7083333333333334,0.4864864864864865,1.0,https://www.amazon.com/SheaMoisture-Manuka-Intensive-Hydration-Conditioner/dp/B00OVQO66S?ref_=ast_sto_dp&th=1&psc=1,https://m.media-amazon.com/images/I/719-BcGGzmL._SX679_.jpg
"GIOVANNI Direct Leave-In Weightless Moisture Conditioner, 8.5 oz. , Wash & Go, Co Wash, Curls & Wavy Hair, No Parabens, Color Safe (Pack of 3)",Giovanni,Curly Girl Products,481,"conditioner, leave-in",0.5555555555555556,0.0,0.8205128205128205,0.6578947368421053,0.5714285714285714,0.5538461538461539,0.5,https://www.amazon.com/GIOVANNI-COSMETICS-Leave-Conditioner-Weightless/dp/B001ET78BU?ref_=ast_sto_dp,https://m.media-amazon.com/images/I/71YtyF8PMAL._SX679_.jpg
